lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
1.8071,-78.7639,8643699,30-Sep-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Narino,1.8071,-78.7639,0
0.3069,-76.0128,8606685,29-Sep-21,2021,Violence against civilians,Attack,CDF,Civilians (Colombia),South America,Colombia,Putumayo,0.3069,-76.0128,1
8.2099,-72.7406,8575488,29-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.2099,-72.7406,1
5.3276,-72.3969,8575675,29-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Casanare,5.3276,-72.3969,0
8.6395,-72.7359,8575823,29-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),ELN,South America,Colombia,Norte de Santander,8.6395,-72.7359,1
2.2516,-69.9252,8575473,27-Sep-21,2021,Explosions/Remote violence,Air/drone strike,Military Forces of Colombia (2018-),FARC Dissident,South America,Colombia,Guainia,2.2516,-69.9252,10
2.1782,-73.7871,8575474,27-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Meta,2.1782,-73.7871,1
8.4905,-72.6397,8575475,27-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.4905,-72.6397,0
10.7696,-74.024,8575657,27-Sep-21,2021,Violence against civilians,Sexual violence,Kogui Indigenous Militia (Colombia),Civilians (Colombia),South America,Colombia,Magdalena,10.7696,-74.024,0
0.5935,-76.5661,8575472,26-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Putumayo,0.5935,-76.5661,1
8.2763,-73.8681,8586954,26-Sep-21,2021,Violence against civilians,Abduction/forced disappearance,Gulf Clan,Civilians (Colombia),South America,Colombia,Bolivar,8.2763,-73.8681,0
1.3913,-78.5193,8627569,26-Sep-21,2021,Violence against civilians,Attack,FARC Dissident - Urias Rondon,Civilians (Colombia),South America,Colombia,Narino,1.3913,-78.5193,5
5.1539,-76.6852,8575469,25-Sep-21,2021,Battles,Armed clash,ELN,Gulf Clan,South America,Colombia,Choco,5.1539,-76.6852,0
3.6569,-76.6886,8575468,24-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Valle del Cauca,3.6569,-76.6886,1
